page,query,clicks,impressions,ctr,position
"https://www.tennisfrens.com/players/arthur-landercknech","아르튀르 랭데르크네슈",0,235,0.00,10.88
"https://www.tennisfrens.com/players/martin-landaluce","란달루세",2,224,0.89,9.35
"https://tennisfrens.com/players/marie-bouzkova","마리 부즈코바",3,210,1.43,9.52
"https://www.tennisfrens.com/players/miomir-kecmanovic","미오미르 케크마노비치",0,150,0.00,9.39
"https://www.tennisfrens.com/players/jiri-lehecka","이르지 레헤치카",0,127,0.00,10.06
"https://www.tennisfrens.com/players/martin-landaluce","마르틴 란달루세",0,75,0.00,10.43
"https://www.tennisfrens.com/players/camilo-ugo-carabelli","카밀로 우고 카라벨리",2,65,3.08,7.29
"https://www.tennisfrens.com/players/alexandre-muller","알렉상드르 뮐러",0,65,0.00,8.03
"https://www.tennisfrens.com/utility/ntrp-test","ntrp 테스트",20,64,31.25,2.33
"https://www.tennisfrens.com/players/polina-kudermetova","폴리나 쿠데르메토바",0,46,0.00,11.78
"https://tennisfrens.com/players/yannick-hanfmann","야닉 한프만",0,43,0.00,11.14
"https://tennisfrens.com/players/daniel-evans","다니엘 ���반스",0,39,0.00,7.69
"https://www.tennisfrens.com/players/hamad-medjedovic","하마드 메제도비치",0,32,0.00,10.25
"https://www.tennisfrens.com/players/tomas-machac","토마시 마하치",0,31,0.00,12.00
"https://www.tennisfrens.com/players/linda-noskova","린다 노스코바",0,30,0.00,10.40
"https://www.tennisfrens.com/players/francisco-comesana","프란시스코 코메사나",0,28,0.00,6.89
"https://www.tennisfrens.com/players/tallon-griekspoor","탈론 그리에크스푸르",0,27,0.00,10.30
"https://www.tennisfrens.com/players/ethan-quinn","에�� 퀸",0,25,0.00,6.88
"https://www.tennisfrens.com/","테니스프렌즈",2,20,10.00,2.35
"https://www.tennisfrens.com/players/yannick-hanfmann","야닉 한프만",0,19,0.00,9.37
"https://www.tennisfrens.com/players/dino-prizmic","프리즈미치",1,18,5.56,8.39
"https://www.tennisfrens.com/players/alejandro-davidovich-fokina","알레한드로 다비도비치 포키나",0,18,0.00,13.33
"https://www.tennisfrens.com/players/laslo-djere","라슬로 제레",0,17,0.00,8.82
"https://www.tennisfrens.com/players/jakub-mensik","멘식 테니스",0,13,0.00,11.38
"https://www.tennisfrens.com/players/jannik-sinner","야닉 시너",0,12,0.00,33.83
"https://www.tennisfrens.com/blog/tennis-error-reduction-guide","언포스드 에러",0,11,0.00,10.00
"https://tennisfrens.com/players/marin-cilic","마린 칠리치",0,10,0.00,12.80
"https://www.tennisfrens.com/players/katie-boulter","케이티 볼터",0,10,0.00,11.00
"https://www.tennisfrens.com/utility/play-style-test","테니스플레이",0,10,0.00,7.10
"https://tennisfrens.com/players/tallon-griekspoor","탈론 그리에크스푸르",0,8,0.00,12.00
"https://www.tennisfrens.com/players/alexandra-eala","이알라",0,8,0.00,18.50
"https://www.tennisfrens.com/players/karen-khachanov","카렌 카차노프",0,7,0.00,27.43
"https://www.tennisfrens.com/blog/tennis-ntrp-30-to-35-guide","ntrp 3.0",0,6,0.00,9.33
"https://www.tennisfrens.com/players/carlos-alcaraz","카를로스 알카라스",0,6,0.00,43.00
"https://www.tennisfrens.com/players/dino-prizmic","디노 프리즈미치",0,6,0.00,9.83
"https://tennisfrens.com/utility/ntrp-test","ntrp 테스트",1,5,20.00,2.60
"https://www.tennisfrens.com/players/andrey-rublev","루블레프",0,5,0.00,7.60
"https://www.tennisfrens.com/players/ben-shelton","벤 쉘튼",0,5,0.00,61.60
"https://www.tennisfrens.com/players/carlos-alcaraz","카를로스 알 카라스",0,5,0.00,63.40
"https://www.tennisfrens.com/players/novak-djokovic","노바 크 조코비치",0,5,0.00,75.20
"https://www.tennisfrens.com/players/hailey-baptiste","헤일리 밥티스트",1,4,25.00,12.00
"https://tennisfrens.com/players/lleyton-hewitt","레이튼 휴이트",0,4,0.00,4.75
"https://tennisfrens.com/players/mackenzie-mcdonald","맥켄지 맥도날드",0,4,0.00,16.50
"https://tennisfrens.com/players/rafael-nadal","나달",0,4,0.00,37.75
"https://www.tennisfrens.com/","ntrp 테스트",0,4,0.00,17.00
"https://www.tennisfrens.com/blog/aw-227-tennis-guide","언포스드 에러",0,4,0.00,11.25
"https://www.tennisfrens.com/blog/tennis-ntrp-25-to-30-guide","ntrp 2.5",0,4,0.00,9.00
"https://www.tennisfrens.com/players/alexander-blockx","알렉산더 블록스",0,4,0.00,11.00
"https://www.tennisfrens.com/players/carlos-alcaraz","알카라스",0,4,0.00,39.75
"https://www.tennisfrens.com/players/dominic-thiem","도미니크 티엠",0,4,0.00,30.25
"https://www.tennisfrens.com/players/jakub-mensik","야쿱 멘식",0,4,0.00,12.25
"https://www.tennisfrens.com/players/jannik-sinner","야닉시너",0,4,0.00,35.75
"https://www.tennisfrens.com/players/lulu-sun","룰루 선",0,4,0.00,10.75
"https://www.tennisfrens.com/players/tomas-machac","마하치",0,4,0.00,7.50
"https://www.tennisfrens.com/blog/tennis-ntrp-30-to-35-guide","ntrp 3.5",1,3,33.33,8.33
"https://www.tennisfrens.com/players/carlos-alcaraz","알카라즈",1,3,33.33,29.00
"https://tennisfrens.com/","테니스프렌즈",0,3,0.00,2.00
"https://tennisfrens.com/utility/ntrp-test","ntrp",0,3,0.00,19.67
"https://www.tennisfrens.com/blog/tommy-paul","토미 폴",0,3,0.00,18.33
"https://www.tennisfrens.com/players/beatriz-haddad-maia","베아트리스 하다드 마이아",0,3,0.00,9.33
"https://www.tennisfrens.com/players/elina-svitolina","엘리나 스비톨리나",0,3,0.00,38.00
"https://www.tennisfrens.com/players/federico-cina","페데리코 시나",0,3,0.00,9.00
"https://www.tennisfrens.com/players/hamad-medjedovic","메제도비치",0,3,0.00,6.67
"https://www.tennisfrens.com/players/linda-noskova","노스코바",0,3,0.00,14.67
"https://www.tennisfrens.com/players/luciano-darderi","루치아노 다르 데리",0,3,0.00,18.67
"https://www.tennisfrens.com/players/luciano-darderi","루치아노 다르데리",0,3,0.00,12.67
"https://www.tennisfrens.com/players/novak-djokovic","노바크 조코비치",0,3,0.00,33.67
"https://www.tennisfrens.com/utility/tennis-dictionary","테니스 용어",0,3,0.00,37.33
"https://tennisfrens.com/players/aleksandar-vukic","aleksandar vukic ranking",0,2,0.00,70.50
"https://tennisfrens.com/players/jannik-sinner","시너",0,2,0.00,44.00
"https://tennisfrens.com/players/rafael-nadal","nadal",0,2,0.00,50.00
"https://tennisfrens.com/players/rafael-nadal","라파엘 나달",0,2,0.00,44.00
"https://www.tennisfrens.com/blog/tennis-first-rally-goal-beginner","테니스 랠리 언제부터",0,2,0.00,19.00
"https://www.tennisfrens.com/blog/tennis-kick-serve-technique","킥서브",0,2,0.00,26.50
"https://www.tennisfrens.com/blog/tennis-ntrp-2-to-3","ntrp 2.0",0,2,0.00,9.00
"https://www.tennisfrens.com/blog/tennis-ntrp-35-to-40-guide","ntrp 3.5",0,2,0.00,7.00
"https://www.tennisfrens.com/blog/tennis-starting-complete-guide","테니스 준비물",0,2,0.00,17.00
"https://www.tennisfrens.com/blog/tennis-travel-court-finder-guide","테니스 여행",0,2,0.00,39.00
"https://www.tennisfrens.com/blog/tommy-paul","토미폴",0,2,0.00,26.00
"https://www.tennisfrens.com/players/alexandra-eala","알렉산드라 이알라",0,2,0.00,20.00
"https://www.tennisfrens.com/players/ben-shelton","벤쉘튼",0,2,0.00,38.50
"https://www.tennisfrens.com/players/elise-mertens","엘리제 메르텐스",0,2,0.00,9.50
"https://www.tennisfrens.com/players/jack-draper","잭 드레이퍼",0,2,0.00,31.50
"https://www.tennisfrens.com/players/jakub-mensik","멘식",0,2,0.00,22.50
"https://www.tennisfrens.com/players/jannik-sinner","시너",0,2,0.00,36.00
"https://www.tennisfrens.com/players/jannik-sinner","야닉 시너 키",0,2,0.00,31.50
"https://www.tennisfrens.com/players/jiri-lehecka","레헤치카",0,2,0.00,13.00
"https://www.tennisfrens.com/players/luciano-darderi","다르데리",0,2,0.00,10.50
"https://www.tennisfrens.com/players/madison-keys","매디슨 키스",0,2,0.00,21.00
"https://www.tennisfrens.com/players/matteo-arnaldi","마테오 아르날디",0,2,0.00,12.00
"https://www.tennisfrens.com/players/novak-djokovic","노박 조코비치",0,2,0.00,61.50
"https://www.tennisfrens.com/players/tommy-paul","토미 폴",0,2,0.00,24.00
"https://www.tennisfrens.com/utility/court-booking","테니스 코트",0,2,0.00,74.50
"https://www.tennisfrens.com/utility/flexibility-test","유연성 측정기",0,2,0.00,69.50
"https://www.tennisfrens.com/utility/ntrp-test","ntrp test",0,2,0.00,4.50
"https://www.tennisfrens.com/utility/ntrp-test","테니스 ntrp 측정",0,2,0.00,5.00
"https://www.tennisfrens.com/utility/tennis-dictionary","테니스 용어 정리",0,2,0.00,15.50
"https://tennisfrens.com/players/alejandro-tabilo","알레한드로 타빌로",0,1,0.00,13.00
"https://tennisfrens.com/players/aleksandar-vukic","aleksandar vukic",0,1,0.00,77.00
"https://tennisfrens.com/players/aleksandar-vukic","vukic",0,1,0.00,87.00
"https://tennisfrens.com/players/aleksandar-vukic","알렉산다르 부킥",0,1,0.00,6.00
"https://tennisfrens.com/players/arthur-fils","아서 필스",0,1,0.00,11.00
"https://tennisfrens.com/players/daniel-evans","댄 에반스",0,1,0.00,9.00
"https://tennisfrens.com/players/gael-monfils","가엘 몽 피스",0,1,0.00,40.00
"https://tennisfrens.com/players/gael-monfils","가엘 몽피스",0,1,0.00,47.00
"https://tennisfrens.com/players/jannik-sinner","야닉",0,1,0.00,39.00
"https://tennisfrens.com/players/marin-cilic","cilic",0,1,0.00,69.00
"https://tennisfrens.com/players/marin-cilic","칠리치",0,1,0.00,24.00
"https://tennisfrens.com/utility/ntrp-test","테니스 ntrp 측정",0,1,0.00,3.00
"https://www.tennisfrens.com/","ntrp",0,1,0.00,48.00
"https://www.tennisfrens.com/","ntrp 기준",0,1,0.00,25.00
"https://www.tennisfrens.com/","ntrp 뜻",0,1,0.00,35.00
"https://www.tennisfrens.com/about","ntrp 테스트",0,1,0.00,29.00
"https://www.tennisfrens.com/blog/tennis-kick-serve-technique","킥 서브",0,1,0.00,22.00
"https://www.tennisfrens.com/blog/tennis-kick-serve-technique","테니스 킥서브",0,1,0.00,23.00
"https://www.tennisfrens.com/blog/tennis-lob-defense-offense","테니스 로브",0,1,0.00,28.00
"https://www.tennisfrens.com/blog/tennis-ntrp-35-to-40-guide","ntrp 4.0",0,1,0.00,8.00
"https://www.tennisfrens.com/blog/tennis-racket-balance-head-light-guide","헤드라이트 라켓",0,1,0.00,32.00
"https://www.tennisfrens.com/blog/tennis-shoe-court-surface-guide","테니스화 밑창",0,1,0.00,14.00
"https://www.tennisfrens.com/blog/tennis-string-pattern-16x19-vs-18x20","16 x 19",0,1,0.00,7.00
"https://www.tennisfrens.com/blog/tennis-wall-practice-drills","테니스 벽치기",0,1,0.00,19.00
"https://www.tennisfrens.com/players/alejandro-davidovich-fokina","포키나",0,1,0.00,16.00
"https://www.tennisfrens.com/players/alexander-blockx","alexander blockx",0,1,0.00,63.00
"https://www.tennisfrens.com/players/alexander-bublik","알렉산더 부블리크",0,1,0.00,28.00
"https://www.tennisfrens.com/players/alexandra-eala","이알라 테니스",0,1,0.00,31.00
"https://www.tennisfrens.com/players/andrey-rublev","안드레이 루블레프",0,1,0.00,11.00
"https://www.tennisfrens.com/players/arthur-fils","아르튀르 피스",0,1,0.00,39.00
"https://www.tennisfrens.com/players/arthur-fils","아서 필스",0,1,0.00,6.00
"https://www.tennisfrens.com/players/carlos-alcaraz","알 카라스",0,1,0.00,46.00
"https://www.tennisfrens.com/players/carlos-alcaraz","알카라스 테니스",0,1,0.00,39.00
"https://www.tennisfrens.com/players/elina-svitolina","svitolina",0,1,0.00,57.00
"https://www.tennisfrens.com/players/elina-svitolina","스비톨리나",0,1,0.00,22.00
"https://www.tennisfrens.com/players/elise-mertens","mertens elise",0,1,0.00,74.00
"https://www.tennisfrens.com/players/emilio-nava","에밀리오 나바",0,1,0.00,4.00
"https://www.tennisfrens.com/players/felix-auger-aliassime","오제 알리아심",0,1,0.00,28.00
"https://www.tennisfrens.com/players/hailey-baptiste","hailey baptiste",0,1,0.00,99.00
"https://www.tennisfrens.com/players/hailey-baptiste","헤일리 뱁티스트",0,1,0.00,10.00
"https://www.tennisfrens.com/players/hugo-gaston","위고 가스통",0,1,0.00,12.00
"https://www.tennisfrens.com/players/jakub-mensik","야쿠프 멘식",0,1,0.00,23.00
"https://www.tennisfrens.com/players/jasmine-paolini","파올리니",0,1,0.00,12.00
"https://www.tennisfrens.com/players/jiri-lehecka","이르지 레헤 치카",0,1,0.00,11.00
"https://www.tennisfrens.com/players/joao-fonseca","폰세카 테니스",0,1,0.00,57.00
"https://www.tennisfrens.com/players/karolina-muchova","무호바",0,1,0.00,8.00
"https://www.tennisfrens.com/players/karolina-muchova","카롤리나 무초바",0,1,0.00,42.00
"https://www.tennisfrens.com/players/lulu-sun","sun lulu",0,1,0.00,90.00
"https://www.tennisfrens.com/players/madison-keys","keys tennis",0,1,0.00,75.00
"https://www.tennisfrens.com/players/maria-sakkari-legacy","maria sakarri",0,1,0.00,45.00
"https://www.tennisfrens.com/players/maria-sakkari-legacy","sakkari maria",0,1,0.00,64.00
"https://www.tennisfrens.com/players/maria-sakkari-legacy","마리아 사카리",0,1,0.00,23.00
"https://www.tennisfrens.com/players/maya-joint","maya joint",0,1,0.00,100.00
"https://www.tennisfrens.com/players/maya-joint","maya joint ranking",0,1,0.00,82.00
"https://www.tennisfrens.com/players/moyuka-uchijima","우치지마 모유카",0,1,0.00,10.00
"https://www.tennisfrens.com/players/novak-djokovic","노박",0,1,0.00,40.00
"https://www.tennisfrens.com/players/sujeong-jang","jang s",0,1,0.00,57.00
"https://www.tennisfrens.com/players/terence-atmane","테렌스 아트만",0,1,0.00,17.00
"https://www.tennisfrens.com/players/ugo-humbert","우고 움베르",0,1,0.00,12.00
"https://www.tennisfrens.com/players/wang-xinyu","wang xinyu",0,1,0.00,65.00
"https://www.tennisfrens.com/players/wang-xinyu","왕신우",0,1,0.00,12.00
"https://www.tennisfrens.com/players/wang-xinyu","왕신위",0,1,0.00,23.00
"https://www.tennisfrens.com/tennis-rules-quiz","테니스 규칙 pdf",0,1,0.00,75.00
"https://www.tennisfrens.com/utility/calorie-calculator","tennis calorie calculator",0,1,0.00,75.00
"https://www.tennisfrens.com/utility/court-booking","테니스코트",0,1,0.00,54.00
"https://www.tennisfrens.com/utility/mental-training","멘탈 트레이닝",0,1,0.00,25.00
"https://www.tennisfrens.com/utility/mental-training","멘탈트레이닝",0,1,0.00,28.00
"https://www.tennisfrens.com/utility/ntrp-test","ntrp",0,1,0.00,25.00
"https://www.tennisfrens.com/utility/ntrp-test","ntrp 기준",0,1,0.00,37.00
"https://www.tennisfrens.com/utility/ntrp-test","ntrp 뜻",0,1,0.00,21.00
"https://www.tennisfrens.com/utility/reaction-test","반응속도 연습",0,1,0.00,45.00
"https://www.tennisfrens.com/utility/utr-calculator","utr calculator",0,1,0.00,2.00