query,clicks,impressions,ctr,position
"란달루세",2,211,0.95,9.28
"아르튀르 랭데르크네슈",0,194,0.00,10.49
"미오미르 케크마노비치",0,150,0.00,9.40
"ntrp 테스트",16,69,23.19,2.55
"마르틴 란달루세",0,65,0.00,10.65
"야닉 한프만",0,56,0.00,10.95
"폴리나 쿠데르메토바",0,41,0.00,11.78
"다니엘 에반스",0,39,0.00,7.69
"마리 부즈코바",0,34,0.00,7.41
"테니스프렌즈",1,28,3.57,2.25
"토마시 마하치",0,23,0.00,11.61
"프리즈미치",1,18,5.56,8.39
"알레한드로 다비도비치 포키나",0,18,0.00,13.33
"라슬로 제레",0,15,0.00,8.60
"에단 퀸",0,15,0.00,6.80
"야닉 시너",0,14,0.00,40.21
"카밀로 우고 카라벨리",0,13,0.00,9.31
"탈론 그리에크스푸르",0,13,0.00,11.92
"하마드 메제도비치",0,12,0.00,9.00
"마린 칠리치",0,10,0.00,12.80
"멘식 테니스",0,9,0.00,10.44
"카렌 카차노프",0,7,0.00,26.86
"디노 프리즈미치",0,6,0.00,9.83
"언포스드 에러",0,6,0.00,11.00
"토미 폴",0,6,0.00,15.33
"나달",0,5,0.00,40.40
"왕신유",0,5,0.00,11.60
"카를로스 알 카라스",0,5,0.00,63.40
"카를로스 알카라스",0,5,0.00,48.80
"테니스 용어",0,5,0.00,34.80
"ntrp",0,4,0.00,21.00
"도미니크 티엠",0,4,0.00,30.25
"룰루 선",0,4,0.00,10.75
"맥켄지 맥도날드",0,4,0.00,16.50
"베아트리스 하다드 마이아",0,4,0.00,8.25
"벤 쉘튼",0,4,0.00,66.75
"야쿱 멘식",0,4,0.00,12.25
"프란시���코 코메사나",0,4,0.00,11.75
"노바 크 조코비치",0,3,0.00,81.00
"노바크 조코비치",0,3,0.00,33.67
"노박",0,3,0.00,50.00
"루치아노 다르 데리",0,3,0.00,18.67
"시너",0,3,0.00,41.67
"알렉상드르 뮐러",0,3,0.00,5.33
"알카라스",0,3,0.00,43.67
"엘리나 스비톨리나",0,3,0.00,38.00
"케이티 볼터",0,3,0.00,14.33
"테니스 ntrp 측정",0,3,0.00,4.33
"헤일리 밥티스트",1,2,50.00,12.00
"nadal",0,2,0.00,50.00
"ntrp 2.0",0,2,0.00,9.00
"ntrp 2.5",0,2,0.00,8.50
"ntrp 3.0",0,2,0.00,9.00
"ntrp 3.5",0,2,0.00,7.00
"ntrp test",0,2,0.00,4.50
"노박 조코비치",0,2,0.00,61.50
"다르데리",0,2,0.00,10.50
"라파엘 나달",0,2,0.00,44.00
"레헤치카",0,2,0.00,13.00
"린다 노스코바",0,2,0.00,10.50
"마테오 아르날디",0,2,0.00,12.00
"마하치",0,2,0.00,7.50
"멘식",0,2,0.00,22.50
"스 비톨 리나",0,2,0.00,47.50
"아서 필스",0,2,0.00,8.50
"알카라즈",0,2,0.00,36.50
"야닉 시너 키",0,2,0.00,31.50
"야닉시너",0,2,0.00,32.00
"엘리제 메르텐스",0,2,0.00,9.50
"왕신우",0,2,0.00,12.00
"위고 가스통",0,2,0.00,12.00
"이르지 레헤치카",0,2,0.00,10.50
"잭 드레이퍼",0,2,0.00,31.50
"킥서브",0,2,0.00,26.50
"테니스 코트",0,2,0.00,74.50
"16 x 19",0,1,0.00,7.00
"cilic",0,1,0.00,69.00
"jang s",0,1,0.00,57.00
"keys tennis",0,1,0.00,75.00
"mertens elise",0,1,0.00,74.00
"ntrp 기준",0,1,0.00,25.00
"ntrp 뜻",0,1,0.00,21.00
"sakkari maria",0,1,0.00,64.00
"sun lulu",0,1,0.00,90.00
"svitolina",0,1,0.00,57.00
"utr calculator",0,1,0.00,2.00
"wang xinyu",0,1,0.00,65.00
"가엘 몽 피스",0,1,0.00,40.00
"가엘 몽피스",0,1,0.00,47.00
"나달 리즈",0,1,0.00,28.00
"노스코바",0,1,0.00,25.00
"댄 에반스",0,1,0.00,9.00
"레이튼 휴이트",0,1,0.00,2.00
"루치아노 다르데리",0,1,0.00,15.00
"마리아 사카리",0,1,0.00,23.00
"매디슨 키스",0,1,0.00,29.00
"메제도비치",0,1,0.00,8.00
"무호바",0,1,0.00,8.00
"반응속도 연습",0,1,0.00,45.00
"벤쉘튼",0,1,0.00,41.00
"부블릭",0,1,0.00,40.00
"스비톨리나",0,1,0.00,22.00
"아르튀르 피스",0,1,0.00,39.00
"알렉산다르 부킥",0,1,0.00,6.00
"알렉산더 부���리크",0,1,0.00,28.00
"알렉산드라 이알라",0,1,0.00,12.00
"알카라스 테니스",0,1,0.00,39.00
"야닉",0,1,0.00,39.00
"야닉시너 키",0,1,0.00,23.00
"야쿠프 멘식",0,1,0.00,23.00
"오제 알리아심",0,1,0.00,28.00
"왕신위",0,1,0.00,23.00
"유연성 측정기",0,1,0.00,72.00
"이르지 레헤 치카",0,1,0.00,11.00
"이알라",0,1,0.00,19.00
"이알라 테니스",0,1,0.00,31.00
"칠리치",0,1,0.00,24.00
"카롤리나 무초바",0,1,0.00,42.00
"카차노프",0,1,0.00,28.00
"케크마노비치",0,1,0.00,9.00
"킥 서브",0,1,0.00,22.00
"테니스 ntrp",0,1,0.00,31.00
"테니스 규칙 pdf",0,1,0.00,75.00
"테니스 랠리 언제부터",0,1,0.00,21.00
"테니스 벽치기",0,1,0.00,19.00
"테니스 손목",0,1,0.00,78.00
"테니스 여행",0,1,0.00,42.00
"테니스 용어 정리",0,1,0.00,15.00
"테니스 점수 유래",0,1,0.00,27.00
"테니스 커뮤니티",0,1,0.00,64.00
"테니스 킥서브",0,1,0.00,23.00
"테니스대회일정",0,1,0.00,43.00
"테니스코트",0,1,0.00,54.00
"테니스화 밑창",0,1,0.00,14.00
"테렌스 아트만",0,1,0.00,17.00
"토미폴",0,1,0.00,23.00
"파올리니",0,1,0.00,12.00
"포키나",0,1,0.00,16.00
"폰세카 테니스",0,1,0.00,57.00
"헤드라이트 라켓",0,1,0.00,32.00